"","LastSalePrice","SQFTmain","Bedrooms","Bathrooms","ZIPcode5","YearOfSale","LandSQFT","TaxBeforeSale","AgeNew","Pool","View"
"409",21550215,11277,5,6,90210,2014,54061,17144115,TRUE,TRUE,"none"
"410",5583555,NA,9,10,90210,2013,43682,2702835,TRUE,TRUE,"none"
"411",7100071,7345,6,7,90210,2010,27941,9254794,TRUE,TRUE,"none"
"412",9550095,5997,3,6,90210,2013,41058,3693456,TRUE,FALSE,"none"
"413",2450000,3597,5,4,90210,2009,11585,3000000,TRUE,FALSE,"none"
"414",8275082,8324,5,7,90210,2013,25933,5280900,TRUE,FALSE,"none"
"415",2150021,2384,3,3,90210,2018,8185,973752,TRUE,TRUE,"none"
"416",20000200,11838,4,8,90210,2018,44358,15584532,TRUE,TRUE,"none"
"417",5831558,4169,7,5,90210,2016,12534,386628,TRUE,TRUE,"none"
"418",2225022,4502,5,6,90210,2015,10303,1240474,TRUE,TRUE,"none"
"419",15874658,11221,5,7,90210,2013,46193,9228800,TRUE,TRUE,"City"
"420",8500085,5962,6,6,90210,2014,28069,2012823,TRUE,TRUE,"none"
"421",11500115,11571,6,10,90210,2013,28198,9423000,TRUE,TRUE,"none"
"422",6550065,5816,5,8,90210,2017,22769,2596194,TRUE,TRUE,"none"
"423",3480034,3568,3,3,90210,2019,13796,2074347,FALSE,TRUE,"none"
"424",6500000,5376,5,5,90210,2013,21441,455896,TRUE,TRUE,"none"
"425",4650046,4859,4,3,90210,2019,7202,3876207,TRUE,TRUE,"none"
"426",4450044,3404,2,4,90210,2017,75966,4706348,FALSE,TRUE,"none"
"427",1275012,2683,2,3,90210,2013,17284,300158,TRUE,FALSE,"none"
"428",5295052,6875,4,6,90210,2012,17375,1473624,TRUE,TRUE,"Canyon"
"429",10300103,4171,4,4,90210,2015,17554,3060986,TRUE,TRUE,"none"
"430",2725027,3927,4,6,90210,2018,6004,1749386,TRUE,TRUE,"none"
"431",7300000,5346,6,5,90210,2013,14807,5383563,TRUE,TRUE,"none"
"432",11800618,7735,8,8,90210,2013,53519,10634928,TRUE,TRUE,"none"
"433",7300000,6643,6,6,90210,2011,34071,7700000,TRUE,TRUE,"none"
"434",5085550,4139,4,4,90210,2016,8988,2412129,TRUE,TRUE,"none"
"435",5700057,4748,4,4,90210,2012,28128,432652,TRUE,FALSE,"none"
"436",6000060,3038,3,3,90210,2014,22330,385973,TRUE,TRUE,"none"
"437",5316053,4223,5,5,90210,2016,16080,572709,TRUE,TRUE,"none"
"438",16500000,10379,11,11,90210,2014,39911,10438500,TRUE,TRUE,"none"
"439",10400104,6412,3,4,90210,2016,39841,512566,TRUE,TRUE,"none"
"440",9094590,7624,6,9,90210,2018,34243,11751425,TRUE,TRUE,"none"
"441",4335043,NA,5,7,90210,2016,22022,1610152,TRUE,TRUE,"none"
"442",9700097,NA,4,6,90210,2017,25588,484785,TRUE,TRUE,"City"
"443",9000090,6458,6,9,90210,2014,26178,16574910,TRUE,FALSE,"none"
"444",2850028,1547,2,3,90210,2017,15805,2100000,TRUE,FALSE,"none"
"445",10170101,5357,4,5,90210,2014,33678,581876,TRUE,TRUE,"none"
"446",2925029,4398,4,4,90210,2011,9577,1901433,TRUE,TRUE,"none"
"447",10200102,6526,4,6,90210,2019,33732,10587470,FALSE,TRUE,"none"
"448",17800178,7347,7,9,90210,2018,24133,837115,TRUE,TRUE,"none"
"449",2095020,3999,3,4,90210,2011,18796,435593,TRUE,TRUE,"none"
"450",6282562,7613,5,8,90210,2012,19280,7000000,TRUE,TRUE,"none"
"451",3495034,3388,4,4,90210,2016,17318,299228,TRUE,FALSE,"none"
"452",6150000,5480,3,5,90210,2012,32590,3501054,TRUE,TRUE,"none"
"453",14900149,3752,3,4,90210,2019,28255,12970899,FALSE,TRUE,"Water"
"454",6150061,4477,4,4,90210,2013,20260,4869007,TRUE,TRUE,"none"
"455",17000170,NA,7,10,90210,2012,48632,16147607,TRUE,TRUE,"none"
"456",12500125,19531,5,13,90210,2011,59682,1144006,FALSE,TRUE,"none"
"457",2360023,3405,4,4,90210,2014,14441,1560616,TRUE,TRUE,"none"
"458",2100021,3018,3,4,90210,2012,6259,1614313,TRUE,FALSE,"none"
"459",12000120,NA,7,8,90210,2011,31297,8656403,TRUE,TRUE,"none"
"460",4080040,4993,6,5,90210,2019,23095,1459446,FALSE,TRUE,"none"
"461",10875108,7638,5,7,90210,2015,30629,7955844,TRUE,TRUE,"none"
"462",23079730,9068,5,10,90210,2011,80901,14749000,TRUE,TRUE,"none"
"463",3250032,3577,4,4,90210,2010,26869,1855237,TRUE,TRUE,"none"
"464",10300103,6415,6,7,90210,2015,15120,4833139,TRUE,TRUE,"none"
"465",3299032,4929,4,4,90210,2016,17528,3469040,TRUE,TRUE,"none"
"466",12019120,5577,4,7,90210,2017,36107,2800441,TRUE,TRUE,"none"
"467",7500000,12324,6,12,90210,2009,27545,5724928,TRUE,TRUE,"none"
"468",6000060,3292,4,4,90210,2018,30261,2839054,TRUE,TRUE,"none"
"469",8000080,5177,5,6,90210,2018,26483,1639630,TRUE,TRUE,"none"
"470",16500165,6244,5,9,90210,2016,58639,9086815,TRUE,TRUE,"none"
"471",42500425,10376,7,8,90210,2019,45699,33901000,TRUE,TRUE,"none"
"472",4800048,5214,6,7,90210,2017,26297,4600000,TRUE,FALSE,"City"
"473",25000250,7413,5,8,90210,2017,43437,6798706,TRUE,TRUE,"none"
"474",9300093,4573,4,6,90210,2015,23763,461972,TRUE,TRUE,"none"
"475",12544125,11326,6,10,90210,2008,54800,10143900,TRUE,TRUE,"none"
"476",8750087,6511,5,6,90210,2011,74919,8261746,TRUE,TRUE,"none"
"477",6000060,7232,6,8,90210,2013,14023,2581102,TRUE,FALSE,"none"
"478",2015020,3098,3,4,90210,2013,6014,2037509,TRUE,FALSE,"none"
"479",3825038,4642,5,6,90210,2018,14911,507484,TRUE,TRUE,"none"
"480",4100041,4133,4,5,90210,2012,20512,423466,TRUE,TRUE,"none"
